date,Days,Country/Region,Confirmed,New_Confirmed,Deaths,New_Deaths,Recovered,New_Recovered,Latitude,Longitude,Active_Cases,Area,Population,Population Density,"Confirmed per 500,000 km2",Confirmed per million population,Happiness Index Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,GDP/Capita
03-22-2020,21,Andorra,113,25,1,1,1,0,42.5063,1.5218,111,464,76177,164.174569,243.5344828,1483.387374,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-21-2020,20,Andorra,88,13,0,0,1,0,42.5063,1.5218,87,464,76177,164.174569,189.6551724,1155.204327,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-20-2020,19,Andorra,75,22,0,0,1,0,42.5063,1.5218,74,464,76177,164.174569,161.637931,984.5491421,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-19-2020,18,Andorra,53,14,0,0,1,0,42.5063,1.5218,52,464,76177,164.174569,114.2241379,695.7480604,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-17-2020,16,Andorra,39,37,0,0,1,0,42.5063,1.5218,38,464,76177,164.174569,84.05172414,511.9655539,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-18-2020,17,Andorra,39,0,0,0,1,0,42.5063,1.5218,38,464,76177,164.174569,84.05172414,511.9655539,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-16-2020,15,Andorra,2,1,0,0,1,0,42.5063,1.5218,1,464,76177,164.174569,4.310344828,26.25464379,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-02-2020,1,Andorra,1,1,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-03-2020,2,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-04-2020,3,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-05-2020,4,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-06-2020,5,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-07-2020,6,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-08-2020,7,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-09-2020,8,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-10-2020,9,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-11-2020,10,Andorra,1,0,0,0,0,0,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-12-2020,11,Andorra,1,0,0,0,1,1,42.5063,1.5218,0,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-13-2020,12,Andorra,1,0,0,0,0,-1,42.5063,1.5218,1,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-14-2020,13,Andorra,1,0,0,0,1,1,42.5063,1.5218,0,464,76177,164.174569,2.155172414,13.1273219,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
