date,Days,Country/Region,Confirmed,New_Confirmed,Deaths,New_Deaths,Recovered,New_Recovered,Active_Cases
02-28-2020,1, Azerbaijan,1.0,1.0,0.0,0.0,0.0,0.0,1.0
02-24-2020,1,Afghanistan,1.0,1.0,0.0,0.0,0.0,0.0,1.0
02-25-2020,2,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02-26-2020,3,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02-27-2020,4,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02-28-2020,5,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02-29-2020,6,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-01-2020,7,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-02-2020,8,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-03-2020,9,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-04-2020,10,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-05-2020,11,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-06-2020,12,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-07-2020,13,Afghanistan,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-08-2020,14,Afghanistan,4.0,3.0,0.0,0.0,0.0,0.0,4.0
03-09-2020,15,Afghanistan,4.0,0.0,0.0,0.0,0.0,0.0,4.0
03-10-2020,16,Afghanistan,5.0,1.0,0.0,0.0,0.0,0.0,5.0
03-11-2020,17,Afghanistan,7.0,2.0,0.0,0.0,0.0,0.0,7.0
03-12-2020,18,Afghanistan,7.0,0.0,0.0,0.0,0.0,0.0,7.0
03-13-2020,19,Afghanistan,7.0,0.0,0.0,0.0,0.0,0.0,7.0
03-14-2020,20,Afghanistan,11.0,4.0,0.0,0.0,0.0,0.0,11.0
03-15-2020,21,Afghanistan,16.0,5.0,0.0,0.0,0.0,0.0,16.0
03-16-2020,22,Afghanistan,21.0,5.0,0.0,0.0,1.0,1.0,20.0
03-17-2020,23,Afghanistan,22.0,1.0,0.0,0.0,1.0,0.0,21.0
03-18-2020,24,Afghanistan,22.0,0.0,0.0,0.0,1.0,0.0,21.0
03-19-2020,25,Afghanistan,22.0,0.0,0.0,0.0,1.0,0.0,21.0
03-20-2020,26,Afghanistan,24.0,2.0,0.0,0.0,1.0,0.0,23.0
03-21-2020,27,Afghanistan,24.0,0.0,0.0,0.0,1.0,0.0,23.0
03-22-2020,28,Afghanistan,40.0,16.0,1.0,1.0,1.0,0.0,38.0
03-23-2020,29,Afghanistan,40.0,0.0,1.0,0.0,1.0,0.0,38.0
03-24-2020,30,Afghanistan,74.0,34.0,1.0,0.0,1.0,0.0,72.0
03-25-2020,31,Afghanistan,84.0,10.0,2.0,1.0,2.0,1.0,80.0
03-26-2020,32,Afghanistan,94.0,10.0,4.0,2.0,2.0,0.0,88.0
03-27-2020,33,Afghanistan,110.0,16.0,4.0,0.0,2.0,0.0,104.0
03-28-2020,34,Afghanistan,110.0,0.0,4.0,0.0,2.0,0.0,104.0
03-09-2020,1,Albania,2.0,2.0,0.0,0.0,0.0,0.0,2.0
03-10-2020,2,Albania,10.0,8.0,0.0,0.0,0.0,0.0,10.0
03-11-2020,3,Albania,12.0,2.0,1.0,1.0,0.0,0.0,11.0
03-12-2020,4,Albania,23.0,11.0,1.0,0.0,0.0,0.0,22.0
03-13-2020,5,Albania,33.0,10.0,1.0,0.0,0.0,0.0,32.0
03-14-2020,6,Albania,38.0,5.0,1.0,0.0,0.0,0.0,37.0
03-15-2020,7,Albania,42.0,4.0,1.0,0.0,0.0,0.0,41.0
03-16-2020,8,Albania,51.0,9.0,1.0,0.0,0.0,0.0,50.0
03-17-2020,9,Albania,55.0,4.0,1.0,0.0,0.0,0.0,54.0
03-18-2020,10,Albania,59.0,4.0,2.0,1.0,0.0,0.0,57.0
03-19-2020,11,Albania,64.0,5.0,2.0,0.0,0.0,0.0,62.0
03-20-2020,12,Albania,70.0,6.0,2.0,0.0,0.0,0.0,68.0
03-21-2020,13,Albania,76.0,6.0,2.0,0.0,2.0,2.0,72.0
03-22-2020,14,Albania,89.0,13.0,2.0,0.0,2.0,0.0,85.0
03-23-2020,15,Albania,104.0,15.0,4.0,2.0,2.0,0.0,98.0
03-24-2020,16,Albania,123.0,19.0,5.0,1.0,10.0,8.0,108.0
03-25-2020,17,Albania,146.0,23.0,5.0,0.0,17.0,7.0,124.0
03-26-2020,18,Albania,174.0,28.0,6.0,1.0,17.0,0.0,151.0
03-27-2020,19,Albania,186.0,12.0,8.0,2.0,31.0,14.0,147.0
03-28-2020,20,Albania,197.0,11.0,10.0,2.0,31.0,0.0,156.0
02-25-2020,1,Algeria,1.0,1.0,0.0,0.0,0.0,0.0,1.0
02-26-2020,2,Algeria,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02-27-2020,3,Algeria,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02-28-2020,4,Algeria,1.0,0.0,0.0,0.0,0.0,0.0,1.0
02-29-2020,5,Algeria,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-01-2020,6,Algeria,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-02-2020,7,Algeria,3.0,2.0,0.0,0.0,0.0,0.0,3.0
03-03-2020,8,Algeria,5.0,2.0,0.0,0.0,0.0,0.0,5.0
03-04-2020,9,Algeria,12.0,7.0,0.0,0.0,0.0,0.0,12.0
03-05-2020,10,Algeria,12.0,0.0,0.0,0.0,0.0,0.0,12.0
03-06-2020,11,Algeria,17.0,5.0,0.0,0.0,0.0,0.0,17.0
03-07-2020,12,Algeria,17.0,0.0,0.0,0.0,0.0,0.0,17.0
03-08-2020,13,Algeria,19.0,2.0,0.0,0.0,0.0,0.0,19.0
03-09-2020,14,Algeria,20.0,1.0,0.0,0.0,0.0,0.0,20.0
03-10-2020,15,Algeria,20.0,0.0,0.0,0.0,0.0,0.0,20.0
03-11-2020,16,Algeria,20.0,0.0,0.0,0.0,0.0,0.0,20.0
03-12-2020,17,Algeria,24.0,4.0,1.0,1.0,8.0,8.0,15.0
03-13-2020,18,Algeria,26.0,2.0,2.0,1.0,8.0,0.0,16.0
03-14-2020,19,Algeria,37.0,11.0,3.0,1.0,12.0,4.0,22.0
03-15-2020,20,Algeria,48.0,11.0,4.0,1.0,12.0,0.0,32.0
03-16-2020,21,Algeria,54.0,6.0,4.0,0.0,12.0,0.0,38.0
03-17-2020,22,Algeria,60.0,6.0,4.0,0.0,12.0,0.0,44.0
03-18-2020,23,Algeria,74.0,14.0,7.0,3.0,12.0,0.0,55.0
03-19-2020,24,Algeria,87.0,13.0,9.0,2.0,32.0,20.0,46.0
03-20-2020,25,Algeria,90.0,3.0,11.0,2.0,32.0,0.0,47.0
03-21-2020,26,Algeria,139.0,49.0,15.0,4.0,32.0,0.0,92.0
03-22-2020,27,Algeria,201.0,62.0,17.0,2.0,65.0,33.0,119.0
03-23-2020,28,Algeria,230.0,29.0,17.0,0.0,65.0,0.0,148.0
03-24-2020,29,Algeria,264.0,34.0,19.0,2.0,24.0,0.0,221.0
03-25-2020,30,Algeria,302.0,38.0,21.0,2.0,65.0,41.0,216.0
03-26-2020,31,Algeria,367.0,65.0,25.0,4.0,29.0,0.0,313.0
03-27-2020,32,Algeria,409.0,42.0,26.0,1.0,29.0,0.0,354.0
03-28-2020,33,Algeria,454.0,45.0,29.0,3.0,31.0,2.0,394.0
03-02-2020,1,Andorra,1.0,1.0,0.0,0.0,0.0,0.0,1.0
03-03-2020,2,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-04-2020,3,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-05-2020,4,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-06-2020,5,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-07-2020,6,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-08-2020,7,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-09-2020,8,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-10-2020,9,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-11-2020,10,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-12-2020,11,Andorra,1.0,0.0,0.0,0.0,1.0,1.0,0.0
03-13-2020,12,Andorra,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-14-2020,13,Andorra,1.0,0.0,0.0,0.0,1.0,1.0,0.0
03-15-2020,14,Andorra,1.0,0.0,0.0,0.0,1.0,0.0,0.0
03-16-2020,15,Andorra,2.0,1.0,0.0,0.0,1.0,0.0,1.0
03-17-2020,16,Andorra,39.0,37.0,0.0,0.0,1.0,0.0,38.0
03-18-2020,17,Andorra,39.0,0.0,0.0,0.0,1.0,0.0,38.0
03-19-2020,18,Andorra,53.0,14.0,0.0,0.0,1.0,0.0,52.0
03-20-2020,19,Andorra,75.0,22.0,0.0,0.0,1.0,0.0,74.0
03-21-2020,20,Andorra,88.0,13.0,0.0,0.0,1.0,0.0,87.0
03-22-2020,21,Andorra,113.0,25.0,1.0,1.0,1.0,0.0,111.0
03-23-2020,22,Andorra,133.0,20.0,1.0,0.0,1.0,0.0,131.0
03-24-2020,23,Andorra,164.0,31.0,1.0,0.0,1.0,0.0,162.0
03-25-2020,24,Andorra,188.0,24.0,1.0,0.0,1.0,0.0,186.0
03-26-2020,25,Andorra,224.0,36.0,3.0,2.0,1.0,0.0,220.0
03-27-2020,26,Andorra,267.0,43.0,3.0,0.0,1.0,0.0,263.0
03-28-2020,27,Andorra,308.0,41.0,3.0,0.0,1.0,0.0,304.0
03-20-2020,1,Angola,1.0,1.0,0.0,0.0,0.0,0.0,1.0
03-21-2020,2,Angola,2.0,1.0,0.0,0.0,0.0,0.0,2.0
03-22-2020,3,Angola,2.0,0.0,0.0,0.0,0.0,0.0,2.0
03-23-2020,4,Angola,3.0,1.0,0.0,0.0,0.0,0.0,3.0
03-24-2020,5,Angola,3.0,0.0,0.0,0.0,0.0,0.0,3.0
03-25-2020,6,Angola,3.0,0.0,0.0,0.0,0.0,0.0,3.0
03-26-2020,7,Angola,4.0,1.0,0.0,0.0,0.0,0.0,4.0
03-27-2020,8,Angola,4.0,0.0,0.0,0.0,0.0,0.0,4.0
03-28-2020,9,Angola,5.0,1.0,0.0,0.0,0.0,0.0,5.0
03-13-2020,1,Antigua and Barbuda,1.0,1.0,0.0,0.0,0.0,0.0,1.0
03-14-2020,2,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-15-2020,3,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-16-2020,4,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-17-2020,5,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-18-2020,6,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-19-2020,7,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-20-2020,8,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-21-2020,9,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-22-2020,10,Antigua and Barbuda,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-23-2020,11,Antigua and Barbuda,3.0,2.0,0.0,0.0,0.0,0.0,3.0
03-24-2020,12,Antigua and Barbuda,3.0,0.0,0.0,0.0,0.0,0.0,3.0
03-25-2020,13,Antigua and Barbuda,3.0,0.0,0.0,0.0,0.0,0.0,3.0
03-26-2020,14,Antigua and Barbuda,7.0,4.0,0.0,0.0,0.0,0.0,7.0
03-27-2020,15,Antigua and Barbuda,7.0,0.0,0.0,0.0,0.0,0.0,7.0
03-28-2020,16,Antigua and Barbuda,7.0,0.0,0.0,0.0,0.0,0.0,7.0
03-03-2020,1,Argentina,1.0,1.0,0.0,0.0,0.0,0.0,1.0
03-04-2020,2,Argentina,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-05-2020,3,Argentina,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-06-2020,4,Argentina,2.0,1.0,0.0,0.0,0.0,0.0,2.0
03-07-2020,5,Argentina,8.0,6.0,0.0,0.0,0.0,0.0,8.0
03-08-2020,6,Argentina,12.0,4.0,1.0,1.0,0.0,0.0,11.0
03-09-2020,7,Argentina,12.0,0.0,1.0,0.0,0.0,0.0,11.0
03-10-2020,8,Argentina,17.0,5.0,1.0,0.0,0.0,0.0,16.0
03-11-2020,9,Argentina,19.0,2.0,1.0,0.0,0.0,0.0,18.0
03-12-2020,10,Argentina,19.0,0.0,1.0,0.0,0.0,0.0,18.0
03-13-2020,11,Argentina,31.0,12.0,2.0,1.0,0.0,0.0,29.0
03-14-2020,12,Argentina,34.0,3.0,2.0,0.0,1.0,1.0,31.0
03-15-2020,13,Argentina,45.0,11.0,2.0,0.0,1.0,0.0,42.0
03-16-2020,14,Argentina,56.0,11.0,2.0,0.0,1.0,0.0,53.0
03-17-2020,15,Argentina,68.0,12.0,2.0,0.0,3.0,2.0,63.0
03-18-2020,16,Argentina,79.0,11.0,2.0,0.0,3.0,0.0,74.0
03-19-2020,17,Argentina,97.0,18.0,3.0,1.0,3.0,0.0,91.0
03-20-2020,18,Argentina,128.0,31.0,3.0,0.0,3.0,0.0,122.0
03-21-2020,19,Argentina,158.0,30.0,4.0,1.0,3.0,0.0,151.0
03-22-2020,20,Argentina,225.0,67.0,4.0,0.0,3.0,0.0,218.0
03-23-2020,21,Argentina,266.0,41.0,4.0,0.0,27.0,24.0,235.0
03-24-2020,22,Argentina,387.0,121.0,6.0,2.0,52.0,25.0,329.0
03-25-2020,23,Argentina,387.0,0.0,8.0,2.0,52.0,0.0,327.0
03-26-2020,24,Argentina,502.0,115.0,9.0,1.0,63.0,11.0,430.0
03-27-2020,25,Argentina,589.0,87.0,13.0,4.0,72.0,9.0,504.0
03-28-2020,26,Argentina,690.0,101.0,18.0,5.0,72.0,0.0,600.0
03-01-2020,1,Armenia,1.0,1.0,0.0,0.0,0.0,0.0,1.0
03-02-2020,2,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-03-2020,3,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-04-2020,4,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-05-2020,5,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-06-2020,6,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-07-2020,7,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-08-2020,8,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-09-2020,9,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-10-2020,10,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-11-2020,11,Armenia,1.0,0.0,0.0,0.0,0.0,0.0,1.0
03-12-2020,12,Armenia,4.0,3.0,0.0,0.0,0.0,0.0,4.0
03-13-2020,13,Armenia,8.0,4.0,0.0,0.0,0.0,0.0,8.0
03-14-2020,14,Armenia,18.0,10.0,0.0,0.0,0.0,0.0,18.0
03-15-2020,15,Armenia,26.0,8.0,0.0,0.0,0.0,0.0,26.0
03-16-2020,16,Armenia,52.0,26.0,0.0,0.0,0.0,0.0,52.0
03-17-2020,17,Armenia,78.0,26.0,0.0,0.0,1.0,1.0,77.0
03-18-2020,18,Armenia,84.0,6.0,0.0,0.0,1.0,0.0,83.0
03-19-2020,19,Armenia,115.0,31.0,0.0,0.0,1.0,0.0,114.0
03-20-2020,20,Armenia,136.0,21.0,0.0,0.0,1.0,0.0,135.0
03-21-2020,21,Armenia,160.0,24.0,0.0,0.0,1.0,0.0,159.0
03-22-2020,22,Armenia,194.0,34.0,0.0,0.0,2.0,1.0,192.0
03-23-2020,23,Armenia,235.0,41.0,0.0,0.0,2.0,0.0,233.0
03-24-2020,24,Armenia,249.0,14.0,0.0,0.0,14.0,12.0,235.0
03-25-2020,25,Armenia,265.0,16.0,0.0,0.0,16.0,2.0,249.0
03-26-2020,26,Armenia,290.0,25.0,1.0,1.0,18.0,2.0,271.0
03-27-2020,27,Armenia,329.0,39.0,1.0,0.0,28.0,10.0,300.0
03-28-2020,28,Armenia,407.0,78.0,1.0,0.0,30.0,2.0,376.0
03-13-2020,1,Aruba,2.0,2.0,0.0,0.0,0.0,0.0,2.0
03-14-2020,2,Aruba,2.0,0.0,0.0,0.0,0.0,0.0,2.0
03-15-2020,3,Aruba,2.0,0.0,0.0,0.0,0.0,0.0,2.0
03-16-2020,4,Aruba,2.0,0.0,0.0,0.0,0.0,0.0,2.0
03-17-2020,5,Aruba,3.0,1.0,0.0,0.0,0.0,0.0,3.0
